group,skill,status,bytes,description
self-ue,unreal-blueprint-to-cpp-project,VISIBLE,7761,"把纯蓝图 UE 项目（无 Source/ 目录）转成 C++ 项目并编译烘焙：模块骨架、4 个 Target.cs、uproject 注册、清理 Intermediate/Source 残留，以及 Linux(bash) 与 Windows(PowerShell) 双平台的 Build / RunUAT BuildCookRun 全流程"
self-ue,unreal-button-migration-checklist,VISIBLE,2751,"UE 项目中将 UButton 迁移到自定义按钮基类（如 UXxxButtonBase）后的完整检查清单——C++、测试（含 UCommonButtonBase 反射/委托陷阱）、蓝图三层遗漏点与验证"
self-ue,unreal-cmd,VISIBLE,28132,"Unreal Engine 命令行工具必用技能：UnrealEditor-Cmd（Linux/Windows 双平台）、Build.sh/Build.bat、RunUAT、AutomationTool、UE Python、截图、日志降噪/落盘、退出码，以及编译与热重载陷阱。"
self-ue,unreal-code-created-widget-pitfalls,VISIBLE,3027,"UE 项目 C++ 代码动态创建 UMG/CommonUI 按钮与弹窗时的三个陷阱：RootWidget 绑定、AddToViewport、WidgetTree 守卫"
self-ue,unreal-commonui-button-dev,VISIBLE,6987,"UMG buttons: Common UI plugin (UCommonButtonBase + UCommonButtonStyle), centralized styling, 7-state visuals, reusable architecture."
self-ue,unreal-create-project-starter-content,VISIBLE,4287,"UE 5.7 创建新项目并添加 Starter Content（GUI 自动化 + UnrealPak 解包）时使用"
self-ue,unreal-dev-http,VISIBLE,5969,"必须在 Unreal 项目涉及后端 HTTP 服务、后端 API、REST API、HTTP endpoint 或客户端/服务器 HTTP 集成时调用。"
self-ue,unreal-editor-toolbar-button,VISIBLE,6334,"When adding an editor UI test tool — project setting to reference a UMG widget, toolbar button next to Play, click to fullscreen preview"
self-ue,unreal-featurepack-upack-rebuild,VISIBLE,4435,"UE 引擎 FeaturePacks 目录缺失 .upack（如 StarterContent.upack）导致启动导入失败弹窗时，用 UnrealPak 从项目现有资产自制 upack 的完整流程。含响应文件格式、挂载点规则、注释行断言坑。"
self-ue,unreal-fix-simulatedproxy-teleport-interpolation,VISIBLE,2509,"Fix SimulatedProxy smooth interpolation during teleport in UE5 multiplayer — add NetMulticast RPC to force all clients to snap position"
self-ue,unreal-imc-mapping-verify,VISIBLE,6559,"UE5 Enhanced Input / IMC 的验证与程序化修复（uasset 解析、C++ 契约测试、幂等迁移保存、冲突分流模式），含输入系统规范、UI 开关时的 IMC 生命周期、PICO 2D 复合键 Y 分量不交付的引擎 bug 绕法。"
self-ue,unreal-linux-cross-build-deploy,VISIBLE,16284,"UE5 源码引擎交叉编译 Linux Server + unrealcli 部署：Linux v25 工具链、LINUX_MULTIARCH_ROOT、BuildConfiguration.xml/UBA、PM2 fork 崩循环、DB 缺表缺列、curl scp 绕拦截、ini 覆盖"
self-ue,unreal-module-build,VISIBLE,18441,"Build.cs, Target.cs, module creation, plugin setup, build errors, unresolved external symbol, cannot open include file, IWYU, missing API macros."
self-ue,unreal-monolithic-plugin-symbol-conflict,VISIBLE,2300,"UE 单块链接（monolithic Game/Client/Server）LNK2005/ld.lld duplicate symbol 修复：同名符号冲突须 Target.cs 条件化 DisablePlugins；Editor 不报错、Cook Indeterminism 重跑"
self-ue,unreal-mrq-panorama-setup,VISIBLE,12718,"UE 5.7 MRQ 全景录制+VR 回放（APanoramaViewer+MediaTexture，H.264）、VR 打包（OpenXR/cook 排除 MRQ）、无头 python、UnrealPak upack。触发：8K 渲染/渲染图报错/VR 打包。"
self-ue,unreal-multiplayer-replication-debug,VISIBLE,1971,"UE 多人游戏组件状态/网格复制问题的诊断与修复模式——组件 bool 客户端本地设置第三方不可见（服务器权威 RPC）、公共入口副作用陷阱、环绕第三方同步（手动位置复制）、能量模式变色恢复（DefaultAxeMaterials 数组初始化）"
self-ue,unreal-official-mcp-surgery,VISIBLE,7257,"在运行中的 UE 编辑器里用官方 ModelContextProtocol 工具集做资产/UMG 手术（改名/删控件/DataTable 行编辑/保存）与 UMG 交互 C++ 化的实战纪律。触发词：编辑器资产手术、MCP 改控件、RenameWidget、RemoveWidget、DataTable set_rows、BindWidget 改名、蓝图迁移 C++、拖拽 C++ 化、DetectDrag、编辑器开着编译、-0001 热重载。"
self-ue,unreal-project-context,VISIBLE,10844,"Create/update Unreal Engine project context document. Trigger: 'project context', 'set up context', 'UE context', 'configure project'."
self-ue,unreal-skeletal-orbit-attack,VISIBLE,2657,"UE 骨骼动画驱动的环绕攻击实现（飞轮/武器沿骨骼轨迹环绕目标）——载体 Tick 姿态锁定、手动位置同步跨端复制、StaticMesh CDO 网格陷阱"
self-ue,unreal-uasset-ref-scan,VISIBLE,1906,"删 UE uasset 前用 rg --text 扫二进制引用图判定删除安全性（含 _C 成对、typo twins、umap 不可判读等陷阱）"
self-ue,unreal-umg-bindwidget-default,VISIBLE,5878,"UE5 UMG 中 BindWidget 默认用必选，仅当明确说可选才用 Optional；按钮文本统一用 SetButtonText()；WBP 控件名与 C++ BindWidget 断链（按钮不存在/数据不更新/面板空）的诊断与修复流程"
self-ue,unreal-umg-item-button-wiring,VISIBLE,3320,"Wire action buttons on UMG list item widgets (FriendListItem, EnemyListItem, etc.) with delegates, UFUNCTION handlers, and list-level event forwarding"
self-ue,unreal-unrealmcp-asset-surgery,VISIBLE,4717,"UE 项目内 UnrealMCP 插件 TCP 协议 + 无头 python 对 .uasset 做控件树/蓝图/资产手术（端口/帧格式/参数名陷阱/reparent/强删）"
self-ue,unreal-vr-button-click-fix,VISIBLE,2654,"UE VR WidgetInteraction 按钮点击不可靠的完整修复模式——悬停冷却定时器桥接 Slate 振荡 + 可见性纠正 + SimulateClick 直点路径"
self-ue,unreal-vr-dialog-world-mounting,VISIBLE,5304,"UE5 VR 头显中添加/修复 UMG 弹窗：AddToViewport 不可见，必须 AddChild 到世界空间面板根；含 outer 链、SetZOrder、UPROPERTY 防 GC、RemoveFromParent、SimulateClick、WidgetTree 守卫等陷阱。"
self-ue,unreal-vr-mouse-debug-click,VISIBLE,2754,"VR/世界空间 UMG 的 PC 鼠标调试点击实现（射线 + WidgetInteraction CustomHitResult），含 InteractionSource=Custom 硬性前提与三轮实证陷阱"
self-dsh,agent-teams-orchestration-pitfalls,VISIBLE,6991,"AgentTeams 多智能体编排工程坑与处置（DSH harness 实证 2026-09）：implementation/repair 任务 inScope 必须尾斜杠目录前缀（glob 被完成校验以 undeclared 拒绝）、被取消依赖卡死的任务只能由 owner 自行取消、队长一次只能接管一个任务、自动生成的 repair 契约可能残缺先查再动、成员静默挂死的有界处置、种子任务立即收编。触发：用 AgentTeams 建团队、任务提交被闸门拒绝、任务卡死无法认领/取消、成员长时间无汇报。"
self-dsh,browser-unreal-mcp,VISIBLE,10292,"双 MCP 联动实战指南：浏览器 MCP（Playwright）+ 虚幻官方 MCP（unreal-mcp / ModelContextProtocol）。判断该用哪个 MCP、什么时候才值得在编辑器里模拟点击/模拟操作、如何把浏览器与 UE 串成可验证的闭环。触发词：操作浏览器、打开网页、网页自动化、编辑器自动化、模拟点击、模拟操作、Remote Control、Pixel Streaming、信令页面验证。"
self-dsh,cbm-graph-first,VISIBLE,3661,"代码检索查图优先（graph-first）：找符号/定义、调用方、调用链、影响面、架构总览、复杂度热点、改动前侦察时，先用 codebase-memory MCP（cbm）查知识图谱，grep/glob 只做兜底。触发：在任何代码库里找代码、分析谁调用谁、评估改动影响、看模块边界、引用「图里没有/代码不存在」类负面结论之前，以及用户说「查图 / 用图谱 / 通过知识图谱」。含工具选型、覆盖核验、索引维护与回退判据。"
self-dsh,dotnet-backend-tdd,VISIBLE,2777,"Write xUnit + EF Core InMemory TDD tests for .NET backend services. Use when adding or fixing backend service logic with test-first approach."
self-dsh,dsh-extension-dev,VISIBLE,8750,"DSH 功能扩展开发元技能（先搜索复用、无现成才自己写、写完传 GitHub）。触发词：扩展 DSH、DSH 插件、给 DSH 加功能、开发 DSH 扩展、DSH 扩展开发、DSH 功能扩展。四条规矩：①动手前先搜本地/网上现成扩展，大致符合就在其基础上改，禁止从零重写；②逐步实现——已有相关功能时先加载 add-software-feature 技能扩展它，没有现成才加载 cordis-plugin-development 新建，且写前先描述功能；③一个功能只做一个插件，严禁多功能糅合；④完成后直接上传 GitHub（账号 xgx1，仓库 dsh-extensions）。"
self-dsh,role-templates,VISIBLE,4866,"14 个多 Agent 团队角色 prompt 模板 + 分派规则。当任务跨 3+ 子系统、跨语言、需要 5+ 文件改动、或包含"探索→实现→验证"三阶段时，必须加载此 skill 并按角色分派子 agent。"
